"acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo","valence","year"
0.0902,"['Old Dominion']",0.633,208480,0.683,0,"74uXfGRDayyx7UIV1irrhK",0,1,0.124,-4.648,1,"Wrong Turns",54,"2015-11-06",0.0277,131.046,0.572,2015
0.0606,"['Years & Years', 'Gryffin']",0.543,268840,0.876,0,"6JzCO4ZzxAXhY86vTcqM1Q",0,10,0.157,-5.069,0,"Desire - Gryffin Remix",62,"2015-09-18",0.0512,122.058,0.415,2015
0.993,"['Charles Gounod', 'Yo-Yo Ma']",0.132,163267,0.0195,0,"2kyEgPaAW8wdpvevPnkf0Z",0.888,0,0.0569,-29.76,1,"Ave Maria",62,"2015-09-18",0.0445,81.616,0.14,2015
0.748,"['Oh Wonder']",0.624,208229,0.423,0,"3X3mfRMRaPJRiIMDMQtSkd",8.18e-05,1,0.103,-8.757,1,"Landslide",59,"2015-09-04",0.0628,81.299,0.325,2015
0.0485,"['Coldplay']",0.48,405320,0.718,0,"31L9yLXSj6LpCFupyMV6CR",0.000343,7,0.102,-5.461,1,"Up&Up",68,"2015-12-04",0.0603,163.987,0.252,2015
0.0557,"['Sofi Tukker']",0.773,297507,0.663,0,"0WE8YTl6GAVHnkfvMfci98",0.61,2,0.229,-8.101,1,"Drinkee",53,"2015-10-02",0.0496,115.002,0.324,2015
0.837,"['Dreamgirl']",0.178,234969,0.461,0,"7mgI1HLrLMlIHL3wzotbyM",0.0187,11,0.133,-7.479,1,"Teenage Blue",57,"2015-02-14",0.0312,180.28,0.135,2015
0.0987,"['Iration']",0.63,236333,0.669,0,"1aMoqIYGFADaV3nPaSKL7X",3.87e-05,1,0.491,-7.289,0,"Lost And Found",54,"2015-08-28",0.118,152.106,0.655,2015
0.0719,"['Janji', 'Johnning']",0.537,208140,0.786,0,"3SipFlNddvL0XNZRLXvdZD",0,8,0.253,-4.331,1,"Heroes Tonight",69,"2015-06-09",0.0317,128,0.18,2015
0.0531,"['Rihanna']",0.261,273293,0.689,0,"1UuZhGTon3gzXQAJzNa2A4",0,4,0.152,-6.207,0,"Towards The Sun - From The ""Home"" Soundtrack",55,"2015-03-23",0.0392,170.18,0.263,2015
0.0212,"['Chris Brown']",0.686,224907,0.342,1,"5u7o3wXWJI7AN1b9KIf3m8",0,5,0.111,-8.555,0,"Liquor",57,"2015-12-18",0.0447,104.995,0.429,2015
0.000298,"['Broadside']",0.287,174147,0.96,0,"0wNhTMsDRLWAPxGOQRqkOR",0.00364,8,0.375,-2.856,1,"Coffee Talk",56,"2015-05-18",0.144,173.998,0.457,2015
0.0258,"['The Neighbourhood']",0.517,282640,0.779,0,"38kjFXYgPvtuXCPbHPMGte",0,9,0.0622,-5.005,0,"Prey",63,"2015-10-30",0.0477,115.206,0.197,2015
0.362,"['The Revivalists']",0.428,294640,0.603,0,"2JRkfugsvOPvTLmd0dVppc",0.000231,7,0.151,-6.972,1,"It Was A Sin",55,"2015-07-15",0.0367,155.927,0.129,2015
0.204,"['Alabama Shakes']",0.392,243467,0.57,0,"5qGavrnGfH766WNp5pZXS2",0.299,11,0.385,-5.249,0,"Gimme All Your Love",53,"2015-04-21",0.0466,105.468,0.191,2015
0.437,"['Mura Masa', 'Nao']",0.798,228000,0.443,0,"2s9C5THb9llwyVXtjveV4E",4.78e-06,10,0.065,-9.21,1,"Firefly",64,"2015-04-10",0.12,110.027,0.481,2015
0.171,"['for KING & COUNTRY']",0.518,303307,0.744,0,"5MCG4XcVcvCOXWpSg2cfRC",7.63e-06,3,0.109,-7.106,1,"Shoulders",56,"2015-10-22",0.0351,98.022,0.161,2015
0.98,"['Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick N¨¦zet-S¨¦guin']",0.205,174653,0.0525,0,"5xcYuTciYwyCDPkOgYBAYz",0.906,1,0.103,-23.841,1,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",55,"2015-08-28",0.0327,88.316,0.0511,2015
0.0224,"['Shane Smith & the Saints']",0.391,257413,0.789,0,"46fHLVEQBcyC8VjnmdDF3q",9.95e-06,2,0.143,-6.166,1,"All I See Is You",54,"2015-09-11",0.0436,126.544,0.338,2015
0.224,"['Lil Dicky', 'T-Pain']",0.738,258837,0.709,1,"5NLT6uux4omoMlIFlBxRSI",0,5,0.504,-4.87,0,"Personality (feat. T Pain)",55,"2015-07-31",0.238,95.945,0.832,2015
0.808,"['Chris Stapleton']",0.499,249707,0.0513,0,"21aD24K6JOf0F0qx6HJ0dy",1.48e-06,4,0.0754,-17.501,1,"Daddy Doesn't Pray Anymore",55,"2015-05-04",0.034,131.93,0.318,2015
0.167,"['Tyga']",0.902,186672,0.67,1,"6ZA3Q8Dj5BrnmOsT300DCh",0,10,0.107,-4.074,1,"Ice Cream Man",62,"2015-08-24",0.19,144.07,0.39,2015
0.0534,"['Halsey']",0.512,249500,0.812,0,"4FqMPJlvfY5Nfo3gRKcNxl",0,1,0.092,-4.809,1,"Colors",61,"2015-08-28",0.0617,100.02,0.521,2015
0.0192,"['Moses Gunn Collective']",0.452,228015,0.729,0,"0Bl1Gt8R9kjz7JO7SYAuhe",0.0583,7,0.115,-5.6,1,"Shalala",58,"2015-08-07",0.0304,84.005,0.46,2015
0.14,"['Koe Wetzel']",0.465,272674,0.694,0,"09xjHXcaES9oei36G0KzcD",0,1,0.501,-7.214,1,"Wine Glass",53,"2015-01-05",0.0436,124.793,0.468,2015
0.015,"['Halsey']",0.461,260797,0.696,0,"1r1WtSrPbAOYHE7zwq4eqK",0.000491,9,0.21,-5.752,0,"Haunting",59,"2015-08-28",0.0486,180.006,0.311,2015
0.339,"['Joey Bada$$']",0.548,194739,0.829,1,"23bOfmnZiN42pB1frXNyak",0,1,0.537,-4.103,0,"Paper Trail$",57,"2015-01-20",0.285,93.62,0.452,2015
0.0114,"['Travis Scott']",0.527,176160,0.521,1,"3jg8bevUzKYONDLBBQquif",0.0232,10,0.167,-8.341,0,"Never Catch Me",58,"2015-09-04",0.033,99.438,0.127,2015
0.0768,"['Future']",0.78,173800,0.73,1,"5GhJq5J9ZWIEDZdyw7EWzt",0,9,0.131,-5.423,0,"Real Sisters",55,"2015-07-17",0.0497,160.03,0.512,2015
0.0207,"['Drake', 'Future']",0.787,220862,0.329,1,"4gowy3WT6D1yhMLgRBlf9C",2.95e-06,0,0.118,-9.991,1,"Change Locations",56,"2015-09-20",0.391,137.85,0.209,2015
0.0104,"['Jeremy Camp']",0.492,211600,0.873,0,"04ZzbJOLBEhaf8PVQuH96u",0,0,0.0895,-3.193,1,"Christ In Me",55,"2015-02-03",0.0392,91.078,0.229,2015
0.0287,"['Eric Bellinger', 'Fetty Wap', '2 Chainz']",0.749,204324,0.53,1,"7osBjxxoPSCceUMdkyFh9O",0,1,0.141,-5.251,1,"Valet (feat. Fetty Wap and 2 Chainz)",59,"2015-12-04",0.0386,93.869,0.332,2015
0.713,"['Lana Del Rey']",0.4,290626,0.494,0,"34rRFl0bz9PocxWuO2ca5J",0.000334,1,0.238,-8.04,0,"Music To Watch Boys To",62,"2015-09-18",0.0367,132.016,0.134,2015
0.456,"['Coldplay']",0.535,282693,0.445,0,"5qfZRNjt2TkHEL12r3sDEU",0.0677,4,0.112,-9.155,1,"Everglow",67,"2015-12-04",0.0292,146.099,0.136,2015
0.772,"['Rainbow Kitten Surprise']",0.631,237493,0.277,1,"04M3DsiMNyn8s5XQJrW5sL",0,5,0.114,-10.985,1,"Cold Love",55,"2015-04-25",0.0537,114.765,0.214,2015
0.179,"['Selena Gomez', 'A$AP Rocky']",0.605,221560,0.678,1,"5XfywqPX6XBOdYQNbOaQvy",0,5,0.0878,-6.48,0,"Good For You",61,"2015-08-07",0.0511,88.967,0.212,2015
0.181,"['Stick Figure']",0.799,252693,0.665,0,"3u1bKblfqeghD3grk3Le2w",0.136,3,0.125,-6.31,1,"In This Love",55,"2015-11-13",0.0455,89.498,0.783,2015
0.729,"['Drake', 'PARTYNEXTDOOR']",0.312,212280,0.466,1,"6oLHyWvmk6bKrA91EIYZBp",7.34e-06,9,0.215,-8.163,0,"Wednesday Night Interlude",57,"2015-02-12",0.0509,135.44,0.195,2015
0.0492,"['Miel San Marcos', ""Christine D'Clario""]",0.493,488333,0.63,0,"0yzKJqFTXsbzWjUHaiOxD9",0,9,0.123,-5.143,1,"No Hay Lugar M¨¢s Alto (En Vivo) [feat. Christine D'clario]",64,"2015-03-06",0.0264,135.999,0.107,2015
0.0641,"['Young Thug']",0.71,226733,0.486,1,"4BP0An7SXctTY4kF41JxIQ",0,11,0.112,-6.221,0,"Halftime",56,"2015-04-16",0.251,133.284,0.17,2015
0.000244,"['Trivium']",0.517,321162,0.887,0,"1hPKSQuvfLlPeIu8xhRyTf",0.00258,10,0.151,-7.637,0,"Until the World Goes Cold",58,"2015-10-02",0.0732,166.008,0.531,2015
0.346,"['Tory Lanez', 'Nyce']",0.685,256133,0.272,1,"5rqfg8Hz5D1aCcn2XUxzNA",4.08e-05,0,0.0706,-14.903,0,"Traphouse",57,"2015-01-15",0.0499,112.022,0.524,2015
0.0684,"['Tom Misch', 'Zak Abel']",0.944,276785,0.514,0,"5MChi9fdCbTIWDJPPUuuW6",0.00209,5,0.103,-7.895,1,"Beautiful Escape",65,"2015-08-28",0.195,120.004,0.331,2015
0.168,"['Drake']",0.545,264907,0.476,1,"2YaDRtIlQiZ5WDDB2YuEOC",0,7,0.13,-7.444,0,"You & The 6",56,"2015-02-12",0.284,154.362,0.223,2015
0.626,"['Neck Deep']",0.542,218955,0.439,0,"4oVdhvxZrKQTM9ZsUIZa3S",0,2,0.109,-7.728,1,"December",58,"2015-08-14",0.0272,144.949,0.466,2015
0.72,"['Vallis Alps']",0.584,324123,0.384,0,"3u4rIcRR7gSoJdkJIx9zpu",0.288,3,0.0964,-12.144,0,"Young",59,"2015-01-06",0.0675,93.981,0.184,2015
0.438,"['Wale', 'Usher']",0.416,395951,0.712,1,"7vlPI45Zzzk0palLdKry4k",0,5,0.0642,-6.671,0,"The Matrimony (feat. Usher)",55,"2015-03-31",0.384,78.015,0.581,2015
0.335,"['Lizz Robinett']",0.625,138800,0.726,0,"4ClnJdCaf6PLeLgStqb1e9",0,1,0.273,-2.144,1,"Hide and Seek",59,"2015-01-01",0.031,119.994,0.559,2015
0.827,"['Nipsey Hussle']",0.754,279914,0.572,1,"2aQ7c8reAlk28ff0fJwN52",5.04e-05,8,0.103,-7.336,1,"Overtime",55,"2015-01-01",0.376,158.012,0.398,2015
0.665,"['Kendrick Lamar']",0.567,727107,0.525,1,"1WT11QmhZutciEv1NsHt1R",0,10,0.708,-9.043,0,"Mortal Man",57,"2015-03-16",0.75,86.935,0.416,2015
0.000904,"['Grimes']",0.481,264524,0.965,0,"4ZcGbQ5dOKX6rJk4yvza9R",0.000727,8,0.476,-2.993,1,"Flesh without Blood",59,"2015-11-06",0.0875,155.938,0.66,2015
0.647,"['Us The Duo']",0.761,200707,0.311,0,"6huS9u0BDfeQHq0lObNLPl",0,5,0.15,-10.597,1,"Better Together",63,"2015-04-28",0.0692,109.891,0.553,2015
0.0251,"['Mon Laferte']",0.394,278547,0.475,0,"4skuEIloXWuxxgekKupkEH",0.00749,10,0.112,-7.935,1,"Tu Falta De Querer",71,"2015-08-21",0.028,129.995,0.441,2015
0.00153,"['B<U+00D8>RNS']",0.591,256653,0.874,0,"5ho74ZlMvEbyhFutCd8SGg",1.45e-05,6,0.0602,-4.224,0,"Holy Ghost",56,"2015-10-16",0.0562,89.998,0.775,2015
0.0078,"['Parker McCollum']",0.399,251520,0.51,0,"288eXU0ypAeWJebnN1OpTU",0,0,0.131,-6.53,1,"High Above The Water",53,"2015-02-24",0.027,141.696,0.119,2015
0.61,"['Kristin Chenoweth', 'Dove Cameron']",0.559,224627,0.572,0,"0oe0UYSKAESBUR12I1ESXQ",0,7,0.118,-4.794,0,"Evil Like Me",59,"2015-01-01",0.0373,85.09,0.369,2015
0.048,"['MandoPony']",0.746,205835,0.61,0,"1DFPza4TmWvf0EBIw5P3YV",0,0,0.206,-10.135,0,"Just Gold",58,"2015-07-13",0.0285,101.009,0.82,2015
0.0397,"['Sleeping With Sirens']",0.486,151960,0.948,0,"5LfFjqx9c83BMXrJVfYT0Y",0,9,0.258,-4.61,1,"Kick Me",58,"2015-03-17",0.208,110.033,0.188,2015
0.289,"['Marian Hill']",0.843,217613,0.244,0,"1Z4UKak2eNteHFZkwiYPNz",0,9,0.19,-12.34,0,"One Time",58,"2015-02-17",0.457,159.836,0.519,2015
0.956,"['Sleeping At Last']",0.447,240791,0.206,0,"7fkXzzIVo98CgjOkpd9H0V",4.56e-06,3,0.107,-11.75,1,"Already Gone",63,"2015-10-06",0.0519,66.734,0.327,2015
0.0836,"['Travis Scott', 'Juicy J']",0.689,235680,0.61,1,"3dtBVBClM5ms0qCBBrqpUb",0,10,0.36,-9.004,0,"Wasted (feat. Juicy J)",58,"2015-09-04",0.217,134.923,0.119,2015
0.108,"['Los Huracanes del Norte']",0.891,201038,0.58,0,"1PKoT3dROitNnZQch89TgT",0.000678,7,0.0665,-9.798,0,"El Gato De Chihuahua",60,"2015-02-20",0.0887,115.789,0.945,2015
0.192,"['Alessia Cara']",0.378,212933,0.752,0,"5leOhwmC0JYwAPxo6zGUHP",0,9,0.172,-4.352,1,"Seventeen",54,"2015-11-13",0.399,95.605,0.321,2015
0.428,"['Cavetown']",0.513,265010,0.488,0,"5dY6DqLGqjHvuFBXTlWsLm",5.01e-05,5,0.109,-10.31,1,"Meteor Shower",57,"2015-11-09",0.0328,170.019,0.141,2015
0.0774,"['Wale', 'Jeremih']",0.493,232661,0.542,1,"1cOi4OoRlpOznxiRa8FfHf",0,9,0.239,-8.016,1,"The Body (feat. Jeremih)",55,"2015-03-31",0.076,109.399,0.172,2015
0.246,"['Nathaniel Rateliff & The Night Sweats']",0.583,189853,0.828,0,"2YhAqgvjzU2Rw44rAqzGl6",0.000121,10,0.103,-4.186,1,"Howling At Nothing",56,"2015-08-21",0.0612,99.843,0.709,2015
0.183,"['Family and Friends']",0.428,207519,0.724,0,"4F9jpNQDKRFoyM4Ebpni6S",0.000136,11,0.251,-7.264,0,"Amadeus",58,"2015-07-17",0.0434,146.917,0.184,2015
0.201,"['Natalia Lafourcade']",0.585,221800,0.643,0,"3lGMtkONrZdJ8kTCg6KIFf",0.000306,3,0.144,-8.392,1,"Hasta la Ra¨ªz",69,"2015-11-13",0.0395,152.98,0.592,2015
0.0446,"['Toro y Moi']",0.47,267789,0.652,0,"6MDLO5bi8mGexqSwF9KmpH",0.0635,3,0.311,-6.501,1,"Lilly",55,"2015-04-07",0.0335,139.975,0.524,2015
0.469,"['Mac Miller']",0.463,475827,0.561,1,"4TlN2LSHn3DzauUe77l0ib",0,10,0.157,-6.943,1,"Perfect Circle / God Speed",56,"2015-09-18",0.235,85.148,0.35,2015
0.00193,"['Yellow Claw', 'Mustard', 'Ty Dolla $ign', 'Tyga']",0.745,168641,0.869,0,"4lqEFIB9YZl8BwR99L5H3b",0,6,0.0799,-4.375,1,"In My Room (feat. Ty Dolla $ign & Tyga)",59,"2015-11-20",0.0444,104.015,0.814,2015
0.00784,"['Fall Out Boy']",0.548,179267,0.889,0,"7d0R90VzB45UWf3Aey0X22",0.00884,4,0.341,-4.52,0,"Jet Pack Blues",57,"2015-01-20",0.128,156.05,0.365,2015
0.0426,"['Big Sean']",0.789,215440,0.64,1,"1o8jNa1Rsgh0iI9KQKRDHN",0,8,0.111,-5.506,0,"Paradise - Extended",55,"2015-02-24",0.28,127.941,0.221,2015
0.194,"['Stevie Stone']",0.781,183093,0.731,1,"4xB1dkCcukBOG3X4v6vXuB",0,2,0.107,-5.87,0,"Get Fucked Up",55,"2015-06-30",0.0391,85.202,0.356,2015
0.0595,"['Troye Sivan', 'Allday']",0.726,209058,0.618,0,"5gBEdUKVZJgvQwNu8pIQqy",4.43e-05,0,0.151,-4.843,1,"for him.",55,"2015-12-04",0.123,161.962,0.923,2015
0.346,"['Mac Miller']",0.756,292467,0.523,1,"19CkkPInDRDIOlqfrz1mVn",0,8,0.191,-6.321,1,"Ascension",56,"2015-09-18",0.141,120.025,0.34,2015
0.811,"['Brooks Jefferson']",0.539,219243,0.374,0,"3vFk6g15YAzFtpJFRKBlIW",0.000464,7,0.11,-7.434,1,"The Dance",56,"2015-03-13",0.0273,135.113,0.102,2015
0.871,"['Natural White Noise Relaxation']",0.075,288493,0.00344,0,"0O3oat5MkjDTOneiwLPGda",0.995,11,0.108,-19.787,0,"White Noise: Calming Roar of the Ocean to Fall to Sleep and Stay Asleep",62,"2015-02-19",0.273,171.06,1e-05,2015
2.97e-05,"['Bring Me The Horizon']",0.426,262013,0.934,0,"4EyPadLFhtWojU7mkT5hqT",0.0089,7,0.113,-4.063,0,"Avalanche",63,"2015-09-11",0.0685,160.077,0.285,2015
0.0489,"['Fall Out Boy', 'Demi Lovato']",0.504,205851,0.889,0,"3Y3gChJoEUTqrtuqJCIPQk",0,2,0.19,-4.533,1,"Irresistible",58,"2015-10-16",0.0737,165.047,0.367,2015
0.479,"['Banda Los Recoditos']",0.75,180147,0.497,0,"1PPswVdqYYvfBIk5MdB4Lo",0,3,0.161,-4.948,1,"Me Est¨¢ Gustando",61,"2015-12-11",0.0431,144.933,0.965,2015
0.0407,"['Los Huracanes del Norte']",0.546,201691,0.309,0,"0IqLBh5PvFbxGBOE98D730",0,3,0.0651,-17.473,1,"Mi Complemento",58,"2015-11-05",0.0892,157.008,0.624,2015
0.00833,"['Surf Curse']",0.353,159199,0.792,0,"6E9ab6fNK5D18BDJT8ojDs",0.000134,0,0.197,-10.239,1,"I'm Not Making out With You",56,"2015-05-10",0.0515,190.042,0.269,2015
0.267,"['Aaron Y Su Grupo Ilusion', 'Cristian Castro']",0.667,219347,0.678,0,"4aeteklsGBPXRfZPKN4NS5",0.000544,7,0.107,-4.309,1,"Destilando Amor",61,"2015-04-15",0.0321,89.032,0.712,2015
7.13e-05,"['Five Finger Death Punch']",0.554,187671,0.979,1,"3iBiETSIaFAy0h3asZMzrT",0,6,0.226,-3.167,1,"Hell to Pay",53,"2015-09-04",0.0663,96.002,0.498,2015
0.844,"['Daniela Andrade']",0.475,105500,0.149,0,"0VxocBntP1XTZRsR9ZURPS",0,4,0.14,-11.429,1,"La Vie En Rose",66,"2015-01-28",0.0395,95.423,0.318,2015
0.0726,"['Dove Cameron', 'Sofia Carson', 'Cameron Boyce', 'Booboo Stewart', 'Mitchell Hope', 'Sarah Jeffrey', 'Jeff Lewis']",0.635,174173,0.972,0,"7I80zTBTDNnbOiJQ0JLjZr",0,9,0.913,-4.479,0,"Set it Off",59,"2015-01-01",0.174,119.961,0.611,2015
0.000965,"['B<U+00D8>RNS']",0.53,253880,0.77,0,"00Ci0EXS4fNPnkTbS6wkOh",0.0115,9,0.265,-5.882,1,"Electric Love - Oliver Remix",55,"2015-11-20",0.0824,184.537,0.107,2015
0.178,"['Galimatias', 'Alina Baraz']",0.409,211801,0.485,0,"1w0xrKoe3aJlkLf6SDq9CN",2.22e-06,9,0.193,-8.774,1,"Pretty Thoughts",55,"2015-01-21",0.102,59.05,0.119,2015
